,id,corpusName,corpusAcronym,links,used_in_descEvent,link_type_vocab,link_comment
182,88,Spoken corpus of Karel Makoň,MakonSpoken,http://radio.makon.cz/,,,
183,89,LiFR-Lite,LiFRLite,http://hdl.handle.net/11234/1-4612,yes,,
184,90,Annotation of Dramatic Situations in Theater Play Scripts,ADSTPS,http://hdl.handle.net/11234/1-4930,yes,,
185,90,Annotation of Dramatic Situations in Theater Play Scripts,ADSTPS,http://theaitre.com,,,
186,91,Petrarca+,PetrarcaPlus,https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=petrarca_it_m,yes,,
187,92,Summa Theologiae,SummaTheo,https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=summa_la_a,yes,,
188,93,Summa Theologica in English,SummaTheoEN,https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=summa_en_a,yes,,
189,94,Teologická Summa,SummaTheaCZ,https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=summa_cs_a,yes,,
190,95,Corpus of Czech Verse - Searchable version,CzechVerseSearchable,https://lindat.mff.cuni.cz/services/teitok-live/czechverse/,yes,,
191,96,Corpus of Czech Verse -downloadable data,CzechVerseDownloadable,https://github.com/versotym/corpusCzechVerse,yes,,
192,97,Macedonian Poetry Corpus - Searchable version,MapCorpSearchable,https://lindat.mff.cuni.cz/services/teitok-live/mapcorp/,yes,,
193,98,A Human-Annotated Dataset of Scanned Images and OCR Texts from Medieval Documents: Supplementary Materials - searchable version,HusMedSearchable,https://lindat.mff.cuni.cz/services/teitok/ocrcz/index.php,yes,,
194,99,A Human-Annotated Dataset of Scanned Images and OCR Texts from Medieval Documents: Supplementary Materials,HusMedSupplement,http://hdl.handle.net/11234/1-4935,yes,,
195,99,A Human-Annotated Dataset of Scanned Images and OCR Texts from Medieval Documents: Supplementary Materials,HusMedSupplement,https://nlp.fi.muni.cz/raslan/2022/paper12.pdf,,,
196,99,A Human-Annotated Dataset of Scanned Images and OCR Texts from Medieval Documents: Supplementary Materials,HusMedSupplement,https://nlp.fi.muni.cz/projects/ahisto/ocr-dataset,,,
197,100,Česká elektronická knihovna: Plnotextová databáze české poezie 19. a počátku 20. století - searchable version,CeskaPoesia,http://www.ceska-poezie.cz/cek/?id=2&lang=cz,yes,,
198,101,"Kanseki Repository
Comprehensive collection of premodern Chinese texts",KansekiRepo,https://github.com/kanripo,,,
199,101,"Kanseki Repository
Comprehensive collection of premodern Chinese texts",KansekiRepo,https://www.kanripo.org,yes,,
200,102,Korpus všech textů Karla Čapka,capek_uplny,www.korpus.cz,yes,,
201,103,Korpus prozaických textů Jana Čepa,cep,www.korpus.cz,yes,,
202,104,Literary cartographic and quantitative models of Czech prose of the 19th century,CzechProse,http://korpusprozy.com/eng-website/index.php,yes,,
203,105,Poesi.as,poesi-as,https://github.com/linhd-postdata/poesi.as,yes,,
204,106,Gongocorpus,gongocorpus,https://github.com/linhd-postdata/gongocorpus,yes,,
205,107,Project Gutenberg Poetry Corpora,projectgutenberg-poetry-corpora,https://github.com/linhd-postdata/projectgutenberg-poetry-corpora,yes,,
206,108,Métrique en Ligne Corpus,metrique-en-ligne,https://github.com/linhd-postdata/metrique-en-ligne,yes,,
207,109,Corpus of Spanish stanzas,spanish-stanzas,https://github.com/linhd-postdata/stanzas-evalution-public,yes,,
208,110,PULPO Corpus,PULPO,https://huggingface.co/datasets/linhd-postdata/pulpo,yes,,
209,111,Slovak National Corpus,SNC,http://korpus.juls.savba.sk/res_en.html,yes,,
210,111,Slovak National Corpus,SNC,https://bonito.korpus.sk/run_guest.cgi/first_form,,,
211,111,Slovak National Corpus,SNC,http://korpus.juls.savba.sk/structure1_en.html,,,"contains various subcorpora, needs to be split into single entries in corpusTable, check link for structured overview"
